,Fid,Area,01_ID,02_ID,03_ID,04_ID,05_ID,06_ID,07_ID,08_ID,09_ID,10_ID,11_ID,12_ID
0,0.0,1.0090782600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.19119886,4.972790000000002,8.275042,14.235563999999997,97.360061,117.144897,122.79420600000002,118.754435,75.473855,33.41932999999999,0.0,0.0,11.239040000000001
2,2.0,0.050159760000000005,4.972790000000002,8.275042,14.235563999999997,97.360061,117.144897,122.79420600000002,118.754435,75.473855,33.41932999999999,0.0,0.0,11.239040000000001
3,3.0,0.7720089700000001,5.251135000000001,9.032138999999997,14.876720999999996,96.88711,116.11013599999998,124.13666899999998,119.079135,75.31335500000002,33.84040499999999,0.0,0.0,11.25528
4,4.0,0.14283853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.34389446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.41430664,3.6763700000000004,5.501414999999998,8.565005999999997,98.639422,120.9976,110.73260299999998,115.65607,77.45496,31.045915000000008,0.0,0.0,11.1562
7,7.0,0.32932930000000005,3.7792749999999984,9.478124,12.935966999999998,94.229158,122.87660600000001,111.80200599999998,112.342715,68.64821500000002,41.292305,3.203460000000007,0.0,10.91972
8,8.0,0.11160208,4.731560000000002,8.422297000000002,12.428415000000001,97.041207,114.37271899999999,123.091182,118.34310500000001,75.29784000000001,33.15719000000001,0.0,0.0,11.3016
9,9.0,0.15107600000000002,3.829435,6.355649000000001,10.198751999999992,98.049393,115.894388,118.644368,116.94146500000001,75.19835000000002,31.44617500000001,0.0,0.0,11.26256
10,10.0,0.03328225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,0.55077931,7.093899999999998,0.0,0.0,0.0,0.0,27.137875000000005,56.11664300000001,39.376012999999986,29.306805000000004,16.17015,0.0,18.966968
12,12.0,0.31449992000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,0.09679631000000001,4.283940000000001,7.004605999999997,11.591591999999999,97.80264900000002,116.922484,119.38073499999997,117.41211000000001,75.469085,31.93842500000001,0.0,0.0,11.255920000000001
14,14.0,0.04041554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,0.19516830000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,0.7508649700000001,8.443375,0.0,0.0,0.0,0.0,38.523689,59.743669,37.217579,31.584192,12.536825,11.169730000000005,19.107116
17,17.0,0.18534762000000002,8.518675,0.0,0.0,0.0,0.0,38.836721000000004,59.877781,37.218045,31.744845000000005,12.725805000000008,11.544225000000004,19.105144000000003
18,18.0,0.22945418,8.45725,0.0,0.0,0.0,0.0,38.613642,59.78709099999999,37.21560699999999,31.638587999999984,12.507705000000001,11.290190000000006,19.106368
19,19.0,0.33571771,8.45725,0.0,0.0,0.0,0.0,38.613642,59.78709099999999,37.21560699999999,31.638587999999984,12.507705000000001,11.290190000000006,19.106368
20,20.0,0.3794218,7.8405000000000005,0.0,0.0,0.0,0.0,35.467774,58.398610999999995,37.293766,29.98650899999999,11.989250000000006,7.362695000000006,19.124048000000002
21,21.0,0.01372515,0.0,0.0,0.0,33.46706699999999,55.890862,84.842247,122.00457,88.91513699999999,43.40904999999999,11.504432999999999,0.0,0.0
22,22.0,0.04033298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.0,0.08209987999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24.0,0.25164596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25.0,2.49731707,6.66755,26.671483,20.566775000000007,45.38829299999999,19.273401000000003,0.0,0.0,0.0,0.0,0.0,0.0,9.143574
26,26.0,0.19655585000000003,6.66755,26.671483,20.566775000000007,45.38829299999999,19.273401000000003,0.0,0.0,0.0,0.0,0.0,0.0,9.143574
27,27.0,3.34897771,3.5543249999999986,4.822231000000002,7.800305999999999,99.328986,123.180819,108.30451099999999,115.36461999999999,78.42787000000001,30.940075000000014,0.0,0.0,11.13128
28,28.0,0.53898444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29.0,0.12157016000000001,3.098445,5.165505000000001,7.467897000000001,100.44391600000002,129.919468,106.01083,117.35305000000001,83.8108,36.848254999999995,1.6695449999999994,0.0,10.903360000000001
30,30.0,1.14510656,7.651507000000002,30.065005,39.36221499999999,90.358704,76.76435999999998,0.0,0.0,0.0,0.0,0.0,0.0,10.805496
31,31.0,0.46576314,0.0,0.0,0.0,0.0,0.0,0.0,41.39248799999999,51.805521,60.67758000000001,40.82972500000001,0.0,0.5508700000000001
32,32.0,0.13436753,4.3907250000000015,7.8586620000000025,11.664533999999996,97.26555,114.080728,122.345209,118.00901,74.97404,32.841555,0.0,0.0,11.29172
33,33.0,0.35025475,3.6763700000000004,5.501414999999998,8.565005999999997,98.639422,120.9976,110.73260299999998,115.65607,77.45496,31.045915000000008,0.0,0.0,11.1562
34,34.0,0.9899435200000001,5.654655,9.370398,16.827405,97.19936700000001,118.09249300000002,125.79647,120.089975,75.766715,34.98894000000001,0.0,0.0,11.232040000000001
