,DUN_GRUP,DUN_CULTIU,Voronoi_1,ID_Voronoi,Municipi,Codi_munic,Comarca,Codi_comar,ID_CUENCA,CUENCA,ID_SUBCUEN,N_SUBCUENC,SUBCUENCAS,yield_kgHA,Voronoi_ag,Vor_ag_Num,Fid,Area,FoodTons_N,P_Manure,P_Fertiliser,P_Struvite,P_Compost,P_In,P_PO43-,P_Harvest,P_Out,P_Balance,P_bln_check
2156,CEREALS,CIVADA,CIVADA,20,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1600.0,CIVADA,9,2156,1363.2868,0.218,0,0.0,19.2,0,19.2,0.0,19.2,19.2,0.0,Enough
2157,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1580.0,HORTA,19,2157,1681.1155,0.266,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
2158,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2158,111.6592,0.046,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2159,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2159,169.269,0.07,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2160,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2160,1331.7988,0.548,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2161,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2161,1952.1821,0.803,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2162,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2162,104.5576,0.043,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2163,VINYA,VINYES,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2163,739.1010999999999,0.304,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2164,OLIVERAR,OLIVERES,Fruiters no cítrics en regadiu,34,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,2164,170.3331,0.07,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2165,FRUITA DOLCA,CIRERERS,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57852,TORRENT DE SALZES,EL LLOBREGAT,1580.0,HORTA,19,2165,35453.54,5.602,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
2166,PROTEAGINOSES,PESOLS,Fruiters no cítrics en regadiu,34,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,4113.0,FRUITERS NO CITRICS,15,2166,60245.5829,24.779,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
2167,PROTEAGINOSES,PESOLS,Altres conreus herbacis en regadiu,9,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,1580.0,ALTRES CONREUS HERBACIS,1,2167,1324.5849,0.209,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
2168,FRUITA DOLCA,PRESSEGUERS,Oliverars,47,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,2800.0,OLIVERARS,23,2168,2026.7888,0.568,0,0.0,2.8,0,2.8,0.0,2.8,2.8,0.0,Enough
2169,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,1580.0,HORTA,19,2169,107.1699,0.017,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
2170,FRUITA DOLCA,PRESSEGUERS,Oliverars,47,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,1500.0,OLIVERARS,23,2170,159.9957,0.024,0,0.0,1.5,0,1.5,0.0,1.5,1.5,0.0,Enough
2171,FRUITA DOLCA,PRESSEGUERS,Oliverars,47,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,1500.0,OLIVERARS,23,2171,107334.4253,16.1,0,0.0,1.5,0,1.5,0.0,1.5,1.5,0.0,Enough
2172,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,1580.0,HORTA,19,2172,220.5205,0.035,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
2173,FRUITA DOLCA,PRESSEGUERS,Oliverars,47,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,1500.0,OLIVERARS,23,2173,343.3401,0.052,0,0.0,1.5,0,1.5,0.0,1.5,1.5,0.0,Enough
2174,FARRATGERES,RAY-GRASS,RAY-GRASS,59,Sant Cugat del Vallès,82055,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,14200.0,RAY-GRASS,30,2174,3614.4773,5.133,0,0.0,35.0,0,35.0,0.0,35.0,35.0,0.0,Enough
2175,FARRATGERES,RAY-GRASS,RAY-GRASS,59,Sant Cugat del Vallès,82055,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,14200.0,RAY-GRASS,30,2175,2847.6916,4.044,0,0.0,35.0,0,35.0,0.0,35.0,35.0,0.0,Enough
2176,OLIVERAR,OLIVERES,Horta familiar,44,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,21836.0,HORTA,19,2176,32153.9707,70.211,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2177,OLIVERAR,OLIVERES,Horta familiar,44,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,21836.0,HORTA,19,2177,8504.9456,18.571,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2178,OLIVERAR,OLIVERES,Fruiters no cítrics en bancals,32,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57427,TORRENT DE PEGUERES,EL LLOBREGAT,10271.0,FRUITERS NO CITRICS,15,2178,493.3406,0.507,0,0.0,11.2981,0,11.2981,0.0,11.2981,11.2981,0.0,Enough
2179,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2179,2205.6282,0.529,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2180,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2180,19477.4397,4.675,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2181,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57279,RIERA DE CAN SOLER,EL LLOBREGAT,2400.0,CIRERERS,8,2181,598.9561,0.144,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2182,FRUITA DOLCA,CIRERERS,CIRERERS,19,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57284,RIERA DE CAN JULIA,EL LLOBREGAT,2400.0,CIRERERS,8,2182,34781.7523,8.348000000000004,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2183,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2183,14498.5721,3.48,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2184,FRUITA DOLCA,CIRERERS,CIRERERS,19,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,2400.0,CIRERERS,8,2184,16217.7177,3.892,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2185,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2185,1453.348,0.349,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2186,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2186,458.1956,0.11,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2187,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2187,74315.77670000002,17.836,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2188,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2188,989.4226,0.732,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2189,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2189,15732.8568,11.642,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2190,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2190,54.2958,0.04,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2191,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2191,109.1755,0.081,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2192,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2192,682.2068,0.505,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2193,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Cervelló,80689,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,7400.0,PRESSEGUERS/NECTARINS,28,2193,23087.5515,17.085,0,0.0,5.92,0,5.92,0.0,5.92,5.92,0.0,Enough
2194,FRUITA DOLCA,CIRERERS,CIRERERS,19,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,2400.0,CIRERERS,8,2194,24038.0273,5.769,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2195,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,3800.0,CIRERERS,8,2195,129322.5089,49.143,0,0.0,5.016,0,5.016,0.0,5.016,5.016,0.0,Enough
2196,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,3800.0,CIRERERS,8,2196,715.3552,0.272,0,0.0,5.016,0,5.016,0.0,5.016,5.016,0.0,Enough
2197,FRUITA DOLCA,CIRERERS,CIRERERS,19,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,3800.0,CIRERERS,8,2197,8104.9624,3.08,0,0.0,5.016,0,5.016,0.0,5.016,5.016,0.0,Enough
2198,FRUITA DOLCA,CIRERERS,CIRERERS,19,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DEL PLA DEL LLOBREGAT,2400.0,CIRERERS,8,2198,2922.891,0.701,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2199,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2199,154.1496,0.037,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2200,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2200,3038.9247,0.729,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2201,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2201,36671.466,8.801,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2202,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2202,88588.81329999998,21.261,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2203,OLIVERAR,OLIVERES,Fruiters no cítrics en bancals,32,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,13633.0,FRUITERS NO CITRICS,15,2203,4104.0551,5.595,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
2204,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2204,17317.929,4.156,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2205,FRUITA DOLCA,CIRERERS,CIRERERS,19,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2205,1658.1438,0.398,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2206,FRUITA DOLCA,CIRERERS,CIRERERS,19,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2206,125.7866,0.03,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2207,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2207,447.0696,0.107,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2208,OLIVERAR,OLIVERES,Fruiters no cítrics en bancals,32,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,5438.0,FRUITERS NO CITRICS,15,2208,13107.3009,7.128,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
2209,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2209,31099.5788,7.464,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2210,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2210,2361.7043,0.567,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2211,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Climent de Llobregat,82042,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,2400.0,CIRERERS,8,2211,2314.4337,0.555,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2212,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DEL PLA DEL LLOBREGAT,2400.0,CIRERERS,8,2212,1068.051,0.256,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2213,FRUITA DOLCA,CIRERERS,CIRERERS,19,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DEL PLA DEL LLOBREGAT,2400.0,CIRERERS,8,2213,52232.5586,12.536,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
2214,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2214,23250.9453,50.771,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2215,CEREALS,ORDI,ORDI,52,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1800.0,ORDI,24,2215,43985.166,7.917,0,0.0,1.8,0,1.8,0.0,1.8,1.8,0.0,Enough
2216,CEREALS,ORDI,ORDI,52,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1800.0,ORDI,24,2216,7336.0164,1.32,0,0.0,1.8,0,1.8,0.0,1.8,1.8,0.0,Enough
2217,CEREALS,BLAT TOU,BLAT TOU,14,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,2100.0,BLAT,4,2217,63426.7216,13.32,0,0.0,25.2,0,25.2,0.0,25.2,25.2,0.0,Enough
2218,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2218,27427.3971,59.89,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2219,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,2368.0,HORTA,19,2219,8668.501,2.053,0,0.0,28.416,0,28.416,0.0,28.416,28.416,0.0,Enough
2220,FARRATGERES,ALFALS,ALFALS,3,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,55300.0,HORTA,19,2220,153464.5179,848.659,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2221,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Horta familiar,44,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,21836.0,HORTA,19,2221,4917.3439,10.738,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2222,CEREALS,BLAT TOU,BLAT TOU,14,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,3100.0,BLAT,4,2222,82689.09759999998,25.634,0,0.0,37.2,0,37.2,0.0,37.2,37.2,0.0,Enough
2223,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,2368.0,HORTA,19,2223,61504.5117,14.564,0,0.0,28.416,0,28.416,0.0,28.416,28.416,0.0,Enough
2224,HORTICOLES,HORTA,HORTA,43,Castelldefels,80569,Baix Llobregat,11,3,Garraf,57252,RIERA DELS CANYARS,RIERES DE GARRAF,20332.0,HORTA,19,2224,2599.1442,5.285,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2225,FRUITA DOLCA,PRESSEGUERS,Altres conreus herbacis en regadiu,9,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57287,RIERA DE CAN MALLOL,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,2225,418.2069,0.155,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
2226,FRUITA DOLCA,PRESSEGUERS,PRESSEGUERS,56,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13800.0,PRESSEGUERS/NECTARINS,28,2226,6097.1024,8.414,0,0.0,11.04,0,11.04,0.0,11.04,11.04,0.0,Enough
2227,FRUITA DOLCA,PRUNERES,PRUNERES,58,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,9300.0,PRUNERES,29,2227,24440.9757,22.73,0,0.0,15.903,0,15.903,0.0,15.903,15.903,0.0,Enough
2228,HORTICOLES,HORTA,HORTA,43,Sant Joan Despí,82172,Baix Llobregat,11,4,Llobregat,57281,RIERA DE SANT JUST,EL LLOBREGAT,20332.0,HORTA,19,2228,4830.898,9.822,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2229,HORTICOLES,HORTA,HORTA,43,Sant Feliu de Llobregat,82114,Baix Llobregat,11,4,Llobregat,57281,RIERA DE SANT JUST,EL LLOBREGAT,20332.0,HORTA,19,2229,5775.7864,11.743,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2230,HORTICOLES,HORTA,HORTA,43,Viladecans,83015,Baix Llobregat,11,4,Llobregat,57260,RIERA DE SANT CLIMENT,RIERES DE GARRAF,20332.0,HORTA,19,2230,35228.0668,71.626,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2231,FRUITA DOLCA,CIRERERS,Fruiters no cítrics abandonats - prats en zones agrícoles,30,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57344,TORRENT DE BATZACS,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,2231,3960.4752,2.154,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
2232,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2232,478.1648,1.044,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2233,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2233,1607.6152,3.51,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2234,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2234,112.8178,0.246,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2235,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2235,699.983,1.528,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2236,CEREALS,ORDI,Horta familiar,44,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59521,RIU BESOS,EL BESÃ?S,21836.0,HORTA,19,2236,3050.8449,6.662,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2237,OLIVERAR,OLIVERES,Fruiters no cítrics en regadiu,34,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,2237,96709.30330000001,131.844,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
2238,OLIVERAR,OLIVERES,OLIVERES,51,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57306,TORRENT D'EN BENET,EL LLOBREGAT,2500.0,OLIVERARS,23,2238,19972.3606,4.993,0,0.0,5.0,0,5.0,0.0,5.0,5.0,0.0,Enough
2239,HORTICOLES,HORTA,Conreus en transformació,24,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,3700.0,CONREUS EN TRANSFORMACIO,12,2239,19872.4836,7.353,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Enough
2240,HORTICOLES,HORTA,Altres conreus herbacis abandonats regadiu no regat - prats en zones agrícoles,6,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,43933.0,ALTRES CONREUS HERBACIS,1,2240,1456.9453,6.401,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2241,HORTICOLES,HORTA,HORTA,43,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,2241,75028.83409999998,152.549,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2242,HORTICOLES,HORTA,HORTA,43,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,2242,41481.5559,84.34,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2243,HORTICOLES,HORTA,HORTA,43,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,2243,1208.9107,2.458,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
