,Fid,Area,WE_m3_ha_yr
0,0.0,1.0090782600000001,0.0
1,1.0,0.19119886,45780.6269870019
2,2.0,0.050159760000000005,174506.49066103983
3,3.0,0.7720089700000001,10985.55783619975
4,4.0,0.14283853,0.0
5,5.0,0.34389446,0.0
6,6.0,0.41430664,20418.86327117519
7,7.0,0.32932930000000005,25145.365790410993
8,8.0,0.11160208,75039.99575993567
9,9.0,0.15107600000000002,54472.5005295348
10,10.0,0.03328225,0.0
11,11.0,0.55077931,5111.740913070973
12,12.0,0.31449992000000004,0.0
13,13.0,0.09679631000000001,88840.08509208667
14,14.0,0.04041554,0.0
15,15.0,0.19516830000000002,0.0
16,16.0,0.7508649700000001,4216.110304759589
17,17.0,0.18534762000000002,17177.361082381314
18,18.0,0.22945418,13815.12594148426
19,19.0,0.33571771,9442.27337455626
20,20.0,0.3794218,7928.420872232436
21,21.0,0.01372515,464875.3424917032
22,22.0,0.04033298,0.0
23,23.0,0.08209987999999999,0.0
24,24.0,0.25164596,0.0
25,25.0,2.49731707,741.5200193221762
26,26.0,0.19655585000000003,9421.294771943954
27,27.0,3.34897771,2523.5754207214477
28,28.0,0.53898444,0.0
29,29.0,0.12157016000000001,69405.80644131749
30,30.0,1.14510656,3117.7028782369375
31,31.0,0.46576314,5869.0487529777465
32,32.0,0.13436753,64178.19192255748
33,33.0,0.35025475,24152.907660781188
34,34.0,0.9899435200000001,9008.36003350979
35,35.0,1.32032539,0.0
36,36.0,1.2970904500000002,6227.289394120511
37,37.0,0.27761545000000004,29095.490191558132
38,38.0,2.3223102900000003,3488.33681932314
39,39.0,0.33717977000000005,25575.274366252757
40,40.0,1.82722708,4779.37306128366
41,41.0,0.09320529000000001,76662.1357811343
42,42.0,0.38812055,0.0
43,43.0,0.10450492,0.0
44,44.0,0.15002801,0.0
45,45.0,0.00967178,0.0
46,46.0,0.005841890000000001,0.0
47,47.0,2.0858045500000006,0.0
48,48.0,0.18949628000000002,0.0
49,49.0,0.21648470000000003,0.0
50,50.0,0.0209326,0.0
51,51.0,0.007141540000000001,0.0
52,52.0,0.02521248,0.0
53,53.0,0.03680437,245549.67173735073
54,54.0,0.14951588999999998,0.0
55,55.0,0.015475960000000002,0.0
56,56.0,0.11720827,0.0
57,57.0,1.15285558,0.0
58,58.0,0.3478625,0.0
59,59.0,0.19271526,0.0
60,60.0,0.6704557,0.0
61,61.0,0.16601653,48862.19242445316
62,62.0,0.23183137000000004,0.0
63,63.0,0.22462421,0.0
64,64.0,1.11202245,0.0
65,65.0,0.1689603,44583.30588901654
66,66.0,0.01130803,0.0
67,67.0,0.053119290000000007,0.0
68,68.0,0.4081099,0.0
69,69.0,0.01853033,0.0
70,70.0,0.00203453,0.0
71,71.0,0.00203061,0.0
