,Fid,Area,01_PPTe,02_PPTe,03_PPTe,04_PPTe,05_PPTe,06_PPTe,07_PPTe,08_PPTe,09_PPTe,10_PPTe,11_PPTe,12_PPTe
1780,1780.0,0.17664443000000002,10.54815,15.830025,46.749375,9.85605,11.56755,38.05395,17.245649999999998,29.12025,41.1171,32.2632,49.77307499999999,0.0
1781,1781.0,1.8672260600000001,10.448025,15.444300000000002,46.1616,10.1061,10.997399999999999,37.7973,17.18205,28.11345,39.31395,28.63455,49.542224999999995,0.0
1782,1782.0,0.06302496,10.5171,16.127175,46.615500000000004,10.105425,9.854475,40.380675,17.79405,27.725175,39.6777,28.483050000000002,51.653475,0.0
1783,1783.0,0.15430338,10.5171,16.127175,46.615500000000004,10.105425,9.854475,40.380675,17.79405,27.725175,39.6777,28.483050000000002,51.653475,0.0
1784,1784.0,0.04568958,8.724675,9.0078,34.522724999999994,7.752675,17.68875,10.499775,8.23245,34.009499999999996,37.232324999999996,34.81125,22.000275000000002,0.0
1785,1785.0,0.014948240000000002,9.999225,7.69125,36.590175,12.561075,16.84155,20.584725,19.6983,39.5598,28.085175,22.261125,38.741474999999994,0.0
1786,1786.0,0.08769718000000001,10.738574999999999,13.466099999999999,45.839999999999996,9.260475,18.495,21.05025,13.3488,33.235875,44.273475000000005,43.064775,34.127625,0.0
1787,1787.0,0.009848180000000002,10.08795,10.279425,41.060925,12.039299999999999,11.889899999999999,24.725475000000003,15.497625,27.507075,27.947850000000003,12.886425,39.63585,0.0
1788,1788.0,0.01189863,10.377600000000001,9.2085,42.361575,10.5321,22.68795,12.8712,15.554175,42.4062,29.983125,31.521375,31.467750000000002,0.0
1789,1789.0,0.92071801,10.19535,8.053425,38.897025,11.390775,20.699175,17.208975,16.9989,39.34965,28.883025,26.78085,35.6184,0.0
1790,1790.0,0.008634780000000002,10.342125,7.665825,38.535375,11.75595,18.9792,18.5772,18.29925,40.13385,26.525475,26.0649,37.311375,0.0
1791,1791.0,0.0043747000000000005,10.19535,8.053425,38.897025,11.390775,20.699175,17.208975,16.9989,39.34965,28.883025,26.78085,35.6184,0.0
1792,1792.0,0.01780251,10.19535,8.053425,38.897025,11.390775,20.699175,17.208975,16.9989,39.34965,28.883025,26.78085,35.6184,0.0
1793,1793.0,0.02618744,10.047975,10.2309,41.756249999999994,11.9454,11.8143,24.52425,15.07395,26.3247,27.550275,12.487950000000001,39.358875,0.0
1794,1794.0,0.12869318000000002,10.047975,10.2309,41.756249999999994,11.9454,11.8143,24.52425,15.07395,26.3247,27.550275,12.487950000000001,39.358875,0.0
1795,1795.0,0.01305499,9.626325000000001,8.4786,35.635725,12.837374999999998,14.898525,22.518225,19.06455,37.665375,30.047250000000002,16.6191,39.958575,0.0
1796,1796.0,0.12539368,10.156125,10.640775,40.900575,11.9154,11.445075,25.618274999999997,15.318450000000002,26.894925,28.3191,12.709125,39.51705,0.0
1797,1797.0,0.5335112900000001,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1798,1798.0,0.19161173,11.278425,12.664425,43.839675,8.68365,25.736549999999998,13.662,8.7753,36.649274999999996,40.826924999999996,51.39885,25.676625,0.0
1799,1799.0,0.7584705,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1800,1800.0,0.13307480000000002,11.3097,12.7776,44.43825,8.750399999999999,25.360725000000002,13.833450000000001,9.20835,36.551625,41.655525,51.621975000000006,26.074425,0.0
1801,1801.0,0.06833234,11.522924999999999,12.8388,43.625474999999994,8.587725,27.4005,13.297425,7.811325,37.413975,39.614925,53.465999999999994,24.802875,0.0
1802,1802.0,0.39377460000000003,10.0725,12.705675,42.850575,9.796800000000001,16.5798,25.77195,13.98585,30.445724999999996,38.895975,30.066375,38.795925,0.0
1803,1803.0,0.07719829999999998,9.84765,9.778425,44.697975,11.683425,11.52885,22.938,13.371525000000002,21.416925,25.473675,10.26435,37.934025,0.0
1804,1804.0,0.0562826,9.91395,7.784324999999999,36.375225,12.606224999999998,16.790175,20.567700000000002,19.59,39.5073,28.638824999999997,21.544425,38.707725,0.0
1805,1805.0,0.013746440000000002,10.106175,10.80855,41.36175,11.8416,11.375625,25.4934,15.165975,26.4003,28.3131,12.714225,39.7185,0.0
1806,1806.0,0.09954980000000001,10.1748,11.026275,40.663425000000004,11.888475,11.2704,26.094975,15.528075000000001,27.3891,28.801724999999998,13.095675,40.106025,0.0
1807,1807.0,0.04984409,10.15905,10.956975,40.814025,11.890125000000001,11.31105,25.898475,15.458549999999999,27.198225,28.6755,12.990975,40.00185,0.0
1808,1808.0,0.262886,10.028175000000001,10.206375,42.1149,11.900174999999999,11.763300000000001,24.422925,14.859000000000002,25.712325,27.33555,12.262500000000001,39.221325,0.0
1809,1809.0,0.01246634,10.173525,11.036249999999999,40.6776,11.87925,11.263349999999999,26.124000000000002,15.515325,27.356025,28.808775000000004,13.107300000000002,40.11075,0.0
1810,1810.0,0.06346064,10.079175,10.691475,41.628,11.8413,11.43045,25.178549999999998,15.036674999999999,26.041200000000003,28.07655,12.511574999999999,39.540975,0.0
1811,1811.0,0.08548684,10.00965,10.155,42.2346,11.891775,11.79495,24.273825,14.79345,25.53255,27.241500000000002,12.180150000000001,39.127125,0.0
1812,1812.0,0.061592600000000004,10.01745,10.174725,42.167699999999996,11.89785,11.787524999999999,24.333075,14.831400000000002,25.638375,27.28965,12.225075,39.169799999999995,0.0
1813,1813.0,0.057954750000000006,10.2144,10.805025,40.40175,11.94015,11.342325,26.15145,15.5565,27.552,28.66275,12.980400000000001,39.792825,0.0
1814,1814.0,0.10110086,10.2144,10.805025,40.40175,11.94015,11.342325,26.15145,15.5565,27.552,28.66275,12.980400000000001,39.792825,0.0
1815,1815.0,0.67393803,10.05075,10.274775,41.986575,11.90505,11.71755,24.623025,14.925375,25.895325,27.446775000000002,12.359399999999999,39.336375000000004,0.0
1816,1816.0,1.68525771,10.8093,12.89115,44.627475000000004,9.0021,20.997300000000003,17.622525,11.553075,34.451175,42.95385,45.48915,30.378075000000003,0.0
1817,1817.0,0.05509924,10.123425,10.606875,41.316675000000004,11.85405,11.435324999999999,25.515524999999997,15.089175000000001,26.267400000000002,28.107975,12.56775,39.411975,0.0
1818,1818.0,0.08366175,10.75005,12.702975,43.944675000000004,8.922,21.339824999999998,17.205375,11.094825,34.572975,42.177825,45.2115,29.765099999999997,0.0
1819,1819.0,0.22949027000000002,10.4319,11.78895,41.3637,8.568674999999999,22.194975,14.723925000000001,9.476025,35.0634,39.96285,44.285175,26.735775,0.0
1820,1820.0,0.1507251,10.7625,13.179299999999998,45.31755,9.14715,19.60335,19.3689,12.5637,33.78255,43.78935,44.1606,32.3484,0.0
1821,1821.0,0.5412078800000001,10.73415,13.109549999999999,45.025949999999995,9.118725000000001,19.707375,19.289625,12.395100000000001,33.802949999999996,43.438125,43.945425,32.18265,0.0
1822,1822.0,0.21495470000000003,10.697700000000001,13.171575,45.023475000000005,9.147375,19.295925,19.939574999999998,12.612675,33.5745,43.389975,43.272225,32.81835,0.0
1823,1823.0,0.12401561,8.12415,8.08815,31.653525000000002,7.269,15.606750000000002,8.62485,7.43745,34.062,36.029250000000005,32.5002,19.384425,0.0
1824,1824.0,1.48071284,10.257299999999999,8.02695,39.129225,11.350275,20.69745,16.993575,16.959375,39.670125,28.458000000000002,27.263925,35.509499999999996,0.0
1825,1825.0,0.57812579,10.59585,16.7619,47.235825,10.073925000000001,9.103724999999999,42.779025,18.381825,27.626324999999998,40.331625,29.119425,53.774775000000005,0.0
1826,1826.0,0.08054217999999999,10.59585,16.7619,47.235825,10.073925000000001,9.103724999999999,42.779025,18.381825,27.626324999999998,40.331625,29.119425,53.774775000000005,0.0
1827,1827.0,0.17667152000000003,10.242825,10.880925,40.15635,11.9547,11.290725,26.404500000000002,15.674025,27.873525,28.820175000000003,13.09965,39.924675,0.0
1828,1828.0,0.09023568000000001,10.235100000000001,7.87605,38.57715,11.6484,19.567125,18.1953,17.87985,39.671475,27.776400000000002,25.994025,36.727575,0.0
1829,1829.0,0.01151533,10.235100000000001,7.87605,38.57715,11.6484,19.567125,18.1953,17.87985,39.671475,27.776400000000002,25.994025,36.727575,0.0
1830,1830.0,3.3533763400000005,9.981825,7.776525,36.649125,12.480599999999999,17.1831,20.29785,19.32795,39.368775,28.512375,22.313175,38.40165,0.0
1831,1831.0,0.030043930000000003,10.33005,7.6781250000000005,38.513625000000005,11.764724999999999,18.960675,18.6201,18.329549999999998,40.086825000000005,26.606775000000003,25.995150000000002,37.332225,0.0
1832,1832.0,0.041892500000000006,10.00965,10.155,42.2346,11.891775,11.79495,24.273825,14.79345,25.53255,27.241500000000002,12.180150000000001,39.127125,0.0
